"1096-1453","CIÊNCIAS BIOLÓGICAS II                            ","Academic Exchange Quarterly","C ",2008
"1230-2821","CIÊNCIAS BIOLÓGICAS II                            ","Acta Parasitologica","B4",2008
"0103-2100","CIÊNCIAS BIOLÓGICAS II                            ","Acta Paulista de Enfermagem (UNIFESP. Impresso)","C ",2008
"1671-4083","CIÊNCIAS BIOLÓGICAS II                            ","Acta Pharmacologica Sinica","B2",2008
"1748-1716","CIÊNCIAS BIOLÓGICAS II                            ","Acta Physiologica (Online)","B2",2008
"1748-1708","CIÊNCIAS BIOLÓGICAS II                            ","Acta Physiologica (Print)","B2",2008
"0001-6772","CIÊNCIAS BIOLÓGICAS II                            ","Acta Physiologica Scandinavica","B1",2008
"0065-1583","CIÊNCIAS BIOLÓGICAS II                            ","Acta Protozoologica (Druk)","B3",2008
"0001-690X","CIÊNCIAS BIOLÓGICAS II                            ","Acta Psychiatrica Scandinavica","A2",2008
"0065-1591","CIÊNCIAS BIOLÓGICAS II                            ","Acta Psychiatrica Scandinavica. Supplementum","C ",2008
"1807-863X","CIÊNCIAS BIOLÓGICAS II                            ","Acta Scientiarum. Biological Sciences (Online)","C ",2008
"0001-7051","CIÊNCIAS BIOLÓGICAS II                            ","Acta Theriologica","B3",2008
"0001-706X","CIÊNCIAS BIOLÓGICAS II                            ","Acta Tropica","B2",2008
"0001-7272","CIÊNCIAS BIOLÓGICAS II                            ","Acta Zoologica (Stockholm)","B3",2008
"1355-6215","CIÊNCIAS BIOLÓGICAS II                            ","Addiction Biology (Print)","B1",2008
"0929-5607","CIÊNCIAS BIOLÓGICAS II                            ","Adsorption (Boston)","B3",2008
"0169-409X","CIÊNCIAS BIOLÓGICAS II                            ","Advanced Drug Delivery Reviews","A1",2008
"0065-2423","CIÊNCIAS BIOLÓGICAS II                            ","Advances in Clinical Chemistry","B1",2008
"0065-2598","CIÊNCIAS BIOLÓGICAS II                            ","Advances in Experimental Medicine and Biology","B3",2008
"1043-4046","CIÊNCIAS BIOLÓGICAS II                            ","Advances in Physiology Education","B3",2008
"0065-3527","CIÊNCIAS BIOLÓGICAS II                            ","Advances in Virus Research (Print)","B1",2008
"0364-216X","CIÊNCIAS BIOLÓGICAS II                            ","Aesthetic Plastic Surgery","B3",2008
"1684-5315","CIÊNCIAS BIOLÓGICAS II                            ","African Journal of Biotechnology","B3",2008
"1996-0824","CIÊNCIAS BIOLÓGICAS II                            ","African Journal of Plant Science","C ",2008
"1474-9718","CIÊNCIAS BIOLÓGICAS II                            ","Aging Cell (Print)","A1",2008
"0269-9370","CIÊNCIAS BIOLÓGICAS II                            ","AIDS (London)","A1",2008
"1090-7165","CIÊNCIAS BIOLÓGICAS II                            ","AIDS and Behavior","B2",2008
"0889-2229","CIÊNCIAS BIOLÓGICAS II                            ","AIDS Research and Human Retroviruses","B2",2008
"0741-8329","CIÊNCIAS BIOLÓGICAS II                            ","Alcohol (Fayetteville, N.Y.)","B2",2008
"0145-6008","CIÊNCIAS BIOLÓGICAS II                            ","Alcoholism, Clinical and Experimental Research","B1",2008
"0269-2813","CIÊNCIAS BIOLÓGICAS II                            ","Alimentary Pharmacology & Therapeutics","B1",2008
"1552-5260","CIÊNCIAS BIOLÓGICAS II                            ","Alzheimer's & Dementia","C ",2008
"1980-5128","CIÊNCIAS BIOLÓGICAS II                            ","Amazônia (UFPA. 2004)","C ",2008
"0044-7447","CIÊNCIAS BIOLÓGICAS II                            ","Ambio (Oslo)","B2",2008
"1518-0360","CIÊNCIAS BIOLÓGICAS II                            ","Âmbito Jurídico","C ",2008
"0002-9165","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Clinical Nutrition","A1",2008
"0002-9173","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Clinical Pathology","B1",2008
"1079-2082","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Health-System Pharmacy","B2",2008
"0361-8609","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Hematology (Print)","B2",2008
"1042-0533","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Human Biology","B2",2008
"0002-9297","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Human Genetics","A1",2008
"0895-7061","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Hypertension","B1",2008
"0271-3586","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Industrial Medicine (Print)","B2",2008
"0196-6553","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Infection Control","B2",2008
"1552-4825","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Medical Genetics. Part A","B1",2008
"1552-4841","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Medical Genetics. Part B, Neuropsychiatric Genetics","A2",2008
"0250-8095","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Nephrology","B2",2008
"0195-6108","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Neuroradiology","B1",2008
"1097-6868","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Obstetrics and Gynecology (Online)","B1",2008
"0002-9378","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Obstetrics and Gynecology (Print)","B1",2008
"0889-5406","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Orthodontics and Dentofacial Orthopedics","B3",2008
"1557-4962","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Pharmacology and Toxicology","C ",2008
"0002-9483","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Physical Anthropology","B2",2008
"0363-6143","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Physiology. Cell Physiology","A2",2008
"0363-6135","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Physiology. Heart and Circulatory Physiology","A2",2008
"1040-0605","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Physiology. Lung Cellular and Molecular Physiology","A2",2008
"0363-6119","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Physiology. Regulatory, Integrative and Comparative Physiology","A2",2008
"1931-857X","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Physiology. Renal Physiology","A2",2008
"0193-1849","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Physiology: Endocrinology and Metabolism","A2",2008
"0193-1857","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Physiology: Gastrointestinal and Liver Physiology","A2",2008
"0275-2565","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Primatology (Print)","B2",2008
"1046-7408","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Reproductive Immunology (1989)","B2",2008
"1073-449X","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Respiratory and Critical Care Medicine","A1",2008
"1044-1549","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Respiratory Cell and Molecular Biology","A2",2008
"0363-5465","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Sports Medicine","A2",2008
"1600-6135","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Transplantation (Print)","A1",2008
"0002-9645","CIÊNCIAS BIOLÓGICAS II                            ","American Journal of Veterinary Research","B3",2008
"0003-0082","CIÊNCIAS BIOLÓGICAS II                            ","American Museum Novitates","B3",2008
"0939-4451","CIÊNCIAS BIOLÓGICAS II                            ","Amino Acids (Wien. Print)","B1",2008
"0173-5373","CIÊNCIAS BIOLÓGICAS II                            ","Amphibia-Reptilia","B3",2008
"0365-0596","CIÊNCIAS BIOLÓGICAS II                            ","Anais Brasileiros de Dermatologia (Impresso)","C ",2008
"0001-3765","CIÊNCIAS BIOLÓGICAS II                            ","Anais da Academia Brasileira de Ciências (Impresso)","B3",2008
"0003-2654","CIÊNCIAS BIOLÓGICAS II                            ","Analyst (London. 1877. Print)","A2",2008
"0003-2670","CIÊNCIAS BIOLÓGICAS II                            ","Analytica Chimica Acta (Print)","B1",2008
"1618-2642","CIÊNCIAS BIOLÓGICAS II                            ","Analytical and Bioanalytical Chemistry","B1",2008
"0884-6812","CIÊNCIAS BIOLÓGICAS II                            ","Analytical and Quantitative Cytology and Histology","B1",2008
"0003-2697","CIÊNCIAS BIOLÓGICAS II                            ","Analytical Biochemistry (Print)","B1",2008
"0003-2700","CIÊNCIAS BIOLÓGICAS II                            ","Analytical Chemistry (Washington)","A1",2008
"0003-2719","CIÊNCIAS BIOLÓGICAS II                            ","Analytical Letters","B2",2008
"0910-6340","CIÊNCIAS BIOLÓGICAS II                            ","Analytical Sciences","B3",2008
"0340-2096","CIÊNCIAS BIOLÓGICAS II                            ","Anatomia, Histologia, Embryologia","B4",2008
"1552-4892","CIÊNCIAS BIOLÓGICAS II                            ","Anatomical Record. Part A, Discoveries in Molecular, Cellular, and Evolutionary Biology (Online) (Cessou em 2006. Fundiu-se com ISSN 1552-4914 e 1932-8494)","C ",2008
"1447-6959","CIÊNCIAS BIOLÓGICAS II                            ","Anatomical Science International","B3",2008
"0340-2061","CIÊNCIAS BIOLÓGICAS II                            ","Anatomy and Embryology (Cessou em 2006. Cont. ISSN 1863-2653 Brain Structure & Function (Print))","B2",2008
"0003-2999","CIÊNCIAS BIOLÓGICAS II                            ","Anesthesia and Analgesia","B2",2008
"0003-3022","CIÊNCIAS BIOLÓGICAS II                            ","Anesthesiology (Philadelphia)","A2",2008
"0003-3197","CIÊNCIAS BIOLÓGICAS II                            ","Angiology (Roslyn, N.Y.)","B3",2008
"0377-8401","CIÊNCIAS BIOLÓGICAS II                            ","Animal Feed Science and Technology (Print)","B2",2008
"1806-9614","CIÊNCIAS BIOLÓGICAS II                            ","Animal Reproduction","C ",2008
"0378-4320","CIÊNCIAS BIOLÓGICAS II                            ","Animal Reproduction Science (Print)","B2",2008
"0003-4088","CIÊNCIAS BIOLÓGICAS II                            ","Annales de Limnologie","B4",2008
"0940-9602","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Anatomy","B4",2008
"0003-4746","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Applied Biology","B2",2008
"0305-7364","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Botany (Print)","B1",2008
"1092-9134","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Diagnostic Pathology (Print)","C ",2008
"1047-2797","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Epidemiology","B1",2008
"0939-5555","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Hematology (Print)","B1",2008
"0301-4460","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Human Biology","B3",2008
"0003-4800","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Human Genetics (Print)","B1",2008
"0003-4819","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Internal Medicine","A1",2008
"1590-4261","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Microbiology","B5",2008
"0364-5134","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Neurology","A1",2008
"1082-720X","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Noninvasive Electrocardiology","B3",2008
"0250-6807","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Nutrition & Metabolism","B2",2008
"0077-8923","CIÊNCIAS BIOLÓGICAS II                            ","Annals of the New York Academy of Sciences","B2",2008
"0003-4967","CIÊNCIAS BIOLÓGICAS II                            ","Annals of the Rheumatic Diseases","A1",2008
"0003-4983","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Tropical Medicine and Parasitology","B3",2008
"0890-5096","CIÊNCIAS BIOLÓGICAS II                            ","Annals of Vascular Surgery (Print)","B2",2008
"0066-4286","CIÊNCIAS BIOLÓGICAS II                            ","Annual Review of Phytopathology (Print)","A1",2008
"0954-1020","CIÊNCIAS BIOLÓGICAS II                            ","Antarctic Science (Print)","B3",2008
"0959-4973","CIÊNCIAS BIOLÓGICAS II                            ","Anti-Cancer Drugs","B1",2008
"0250-7005","CIÊNCIAS BIOLÓGICAS II                            ","Anticancer Research","B2",2008
"0066-4804","CIÊNCIAS BIOLÓGICAS II                            ","Antimicrobial Agents and Chemotherapy (Print)","A2",2008
"1523-0864","CIÊNCIAS BIOLÓGICAS II                            ","Antioxidants & Redox Signalling","A1",2008
"0166-3542","CIÊNCIAS BIOLÓGICAS II                            ","Antiviral Research","A2",2008
"1359-6535","CIÊNCIAS BIOLÓGICAS II                            ","Antiviral Therapy (London)","A2",2008
"0003-6072","CIÊNCIAS BIOLÓGICAS II                            ","Antonie van Leeuwenhoek (Gedrukt)","B2",2008
"0044-8435","CIÊNCIAS BIOLÓGICAS II                            ","Apidologie (Celle)","B2",2008
"0903-4641","CIÊNCIAS BIOLÓGICAS II                            ","APMIS. Acta Pathologica, Microbiologica et Immunologica Scandinavica","B2",2008
"1360-8185","CIÊNCIAS BIOLÓGICAS II                            ","Apoptosis (London)","B1",2008
"0195-6663","CIÊNCIAS BIOLÓGICAS II                            ","Appetite (London. Print)","B2",2008
"0099-2240","CIÊNCIAS BIOLÓGICAS II                            ","Applied and Environmental Microbiology (Print)","A2",2008
"0273-2289","CIÊNCIAS BIOLÓGICAS II                            ","Applied Biochemistry and Biotechnology","B2",2008
"0003-6838","CIÊNCIAS BIOLÓGICAS II                            ","Applied Biochemistry and Microbiology","B3",2008
"0926-860X","CIÊNCIAS BIOLÓGICAS II                            ","Applied Catalysis. A, General (Print)","B1",2008
"0096-3003","CIÊNCIAS BIOLÓGICAS II                            ","Applied Mathematics and Computation","B4",2008
"0175-7598","CIÊNCIAS BIOLÓGICAS II                            ","Applied Microbiology and Biotechnology","B1",2008
"0169-4332","CIÊNCIAS BIOLÓGICAS II                            ","Applied Surface Science","B2",2008
"0044-8486","CIÊNCIAS BIOLÓGICAS II                            ","Aquaculture (Amsterdam)","B2",2008
"1353-5773","CIÊNCIAS BIOLÓGICAS II                            ","Aquaculture Nutrition (Print)","B2",2008
"1355-557X","CIÊNCIAS BIOLÓGICAS II                            ","Aquaculture Research (Print)","B3",2008
"0304-3770","CIÊNCIAS BIOLÓGICAS II                            ","Aquatic Botany","B2",2008
"1386-2588","CIÊNCIAS BIOLÓGICAS II                            ","Aquatic Ecology (Print)","B4",2008
"0990-7440","CIÊNCIAS BIOLÓGICAS II                            ","Aquatic Living Resources","B4",2008
"0166-445X","CIÊNCIAS BIOLÓGICAS II                            ","Aquatic Toxicology","B1",2008
"0365-6233","CIÊNCIAS BIOLÓGICAS II                            ","Archiv der Pharmazie (Weinheim)","B3",2008
"0148-5016","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Andrology","B4",2008
"0003-9861","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Biochemistry and Biophysics (Print)","B1",2008
"0340-3696","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Dermatological Research (Print)","B2",2008
"0090-4341","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Environmental Contamination and Toxicology (Print)","B2",2008
"0932-0067","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Gynecology and Obstetrics (Print)","B4",2008
"0739-4462","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Insect Biochemistry and Physiology","B3",2008
"0188-4409","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Medical Research","B2",2008
"0302-8933","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Microbiology","B2",2008
"0003-9969","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Oral Biology","B2",2008
"0253-6269","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Pharmacal Research (Seoul. Print)","B3",2008
"0003-9993","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Physical Medicine and Rehabilitation (Print)","B2",2008
"0340-5761","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Toxicology","B2",2008
"1517-784X","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Veterinary Science","C ",2008
"0304-8608","CIÊNCIAS BIOLÓGICAS II                            ","Archives of Virology","B2",2008
"0004-0592","CIÊNCIAS BIOLÓGICAS II                            ","Archivos de Zootecnia","C ",2008
"0004-0622","CIÊNCIAS BIOLÓGICAS II                            ","Archivos Latinoamericanos de Nutrición","B5",2008
"0004-069X","CIÊNCIAS BIOLÓGICAS II                            ","Archivum Immunologiae et Therapiae Experimentalis","B2",2008
"1424-6376","CIÊNCIAS BIOLÓGICAS II                            ","ARKIVOC","B3",2008
"0102-0935","CIÊNCIAS BIOLÓGICAS II                            ","Arquivo Brasileiro de Medicina Veterinária e Zootecnia","B5",2008
"1678-4162","CIÊNCIAS BIOLÓGICAS II                            ","Arquivo Brasileiro de Medicina Veterinária e Zootecnia (Online)","B5",2008
"0066-782X","CIÊNCIAS BIOLÓGICAS II                            ","Arquivos Brasileiros de Cardiologia (Impresso)","C ",2008
"0004-2730","CIÊNCIAS BIOLÓGICAS II                            ","Arquivos Brasileiros de Endocrinologia e Metabologia (Impresso)","C ",2008
"0103-5355","CIÊNCIAS BIOLÓGICAS II                            ","Arquivos Brasileiros de Neurocirurgia","C ",2008
"0004-2749","CIÊNCIAS BIOLÓGICAS II                            ","Arquivos Brasileiros de Oftalmologia (Impresso)","C ",2008
"0374-5686","CIÊNCIAS BIOLÓGICAS II                            ","Arquivos de Ciências do Mar","C ",2008
"0004-2803","CIÊNCIAS BIOLÓGICAS II                            ","Arquivos de Gastroenterologia (Impresso)","C ",2008
"0004-282X","CIÊNCIAS BIOLÓGICAS II                            ","Arquivos de Neuro-Psiquiatria (Impresso)","B4",2008
"1516-0939","CIÊNCIAS BIOLÓGICAS II                            ","Arquivos em Odontologia (UFMG)","C ",2008
"1079-5642","CIÊNCIAS BIOLÓGICAS II                            ","Arteriosclerosis, Thrombosis, and Vascular Biology","A1",2008
"0004-3591","CIÊNCIAS BIOLÓGICAS II                            ","Arthritis and Rheumatism","A1",2008
"1467-8039","CIÊNCIAS BIOLÓGICAS II                            ","Arthropod Structure & Development","B3",2008
"0749-8063","CIÊNCIAS BIOLÓGICAS II                            ","Arthroscopy (New York. Print)","B1",2008
"0160-564X","CIÊNCIAS BIOLÓGICAS II                            ","Artificial Organs","B2",2008
"0004-4172","CIÊNCIAS BIOLÓGICAS II                            ","Arzneimittel-Forschung","B4",2008
"1008-682X","CIÊNCIAS BIOLÓGICAS II                            ","Asian Journal of Andrology","B2",2008
"0001-253X","CIÊNCIAS BIOLÓGICAS II                            ","ASLIB Proceedings","B4",2008
"0021-9150","CIÊNCIAS BIOLÓGICAS II                            ","Atherosclerosis (Amsterdam)","A2",2008
"0261-1929","CIÊNCIAS BIOLÓGICAS II                            ","ATLA. Alternatives to Laboratory Animals","B1",2008
"0102-1656","CIÊNCIAS BIOLÓGICAS II                            ","Atlântica","C ",2008
"0195-5373","CIÊNCIAS BIOLÓGICAS II                            ","Atomic Spectroscopy","B3",2008
"0104-2386","CIÊNCIAS BIOLÓGICAS II                            ","Atualidades Ornitológicas (Impresso)","C ",2008
"0004-8674","CIÊNCIAS BIOLÓGICAS II                            ","Australian and New Zealand Journal of Psychiatry (Print)","B1",2008
"0891-6934","CIÊNCIAS BIOLÓGICAS II                            ","Autoimmunity (Amsterdam. Print)","B1",2008
"1474-8665","CIÊNCIAS BIOLÓGICAS II                            ","Autonomic & Autacoid Pharmacology (Print)","C ",2008
"1566-0702","CIÊNCIAS BIOLÓGICAS II                            ","Autonomic Neuroscience: Basic & Clinical","B2",2008
"1742-7835","CIÊNCIAS BIOLÓGICAS II                            ","Basic & Clinical Pharmacology & Toxicology (Print)","B2",2008
"0300-8428","CIÊNCIAS BIOLÓGICAS II                            ","Basic Research in Cardiology (Print)","A2",2008
"0001-8244","CIÊNCIAS BIOLÓGICAS II                            ","Behavior Genetics","B1",2008
"0140-525X","CIÊNCIAS BIOLÓGICAS II                            ","Behavioral and Brain Sciences (Print)","A1",2008
"0166-4328","CIÊNCIAS BIOLÓGICAS II                            ","Behavioural Brain Research","B1",2008
"0955-8810","CIÊNCIAS BIOLÓGICAS II                            ","Behavioural Pharmacology","B1",2008
"0376-6357","CIÊNCIAS BIOLÓGICAS II                            ","Behavioural Processes (Print)","B2",2008
"1024-2422","CIÊNCIAS BIOLÓGICAS II                            ","Biocatalysis and Biotransformation (Print)","B3",2008
"0327-9545","CIÊNCIAS BIOLÓGICAS II                            ","Biocell (Mendoza)","B5",2008
"0006-291X","CIÊNCIAS BIOLÓGICAS II                            ","Biochemical and Biophysical Research Communications (Print)","B1",2008
"1369-703X","CIÊNCIAS BIOLÓGICAS II                            ","Biochemical Engineering Journal","B2",2008
"0006-2928","CIÊNCIAS BIOLÓGICAS II                            ","Biochemical Genetics","B3",2008
"0264-6021","CIÊNCIAS BIOLÓGICAS II                            ","Biochemical Journal (London. 1984)","A2",2008
"0006-2952","CIÊNCIAS BIOLÓGICAS II                            ","Biochemical Pharmacology","A2",2008
"0300-5127","CIÊNCIAS BIOLÓGICAS II                            ","Biochemical Society Transactions","A2",2008
"0305-1978","CIÊNCIAS BIOLÓGICAS II                            ","Biochemical Systematics and Ecology","B3",2008
"0006-2960","CIÊNCIAS BIOLÓGICAS II                            ","Biochemistry (Easton)","A2",2008
"0006-2979","CIÊNCIAS BIOLÓGICAS II                            ","Biochemistry (New York)","B3",2008
"0829-8211","CIÊNCIAS BIOLÓGICAS II                            ","Biochemistry and Cell Biology (Print)","B1",2008
"1470-8175","CIÊNCIAS BIOLÓGICAS II                            ","Biochemistry and Molecular Biology Education","B4",2008
"1388-1981","CIÊNCIAS BIOLÓGICAS II                            ","Biochimica and Biophysica Acta. Molecular and Cell Biology of Lipids","A2",2008
"0167-4781","CIÊNCIAS BIOLÓGICAS II                            ","Biochimica et Biophysica Acta, N. Gene Structure and Expression","B2",2008
"0005-2728","CIÊNCIAS BIOLÓGICAS II                            ","Biochimica et Biophysica Acta. Bioenergetics","A2",2008
"0005-2736","CIÊNCIAS BIOLÓGICAS II                            ","Biochimica et Biophysica Acta. Biomembranes","A2",2008
"0304-4165","CIÊNCIAS BIOLÓGICAS II                            ","Biochimica et Biophysica Acta. G, General Subjects (Print)","B1",2008
"1570-9639","CIÊNCIAS BIOLÓGICAS II                            ","Biochimica et Biophysica Acta. Proteins and Proteomics","B1",2008
"0300-9084","CIÊNCIAS BIOLÓGICAS II                            ","Biochimie (Paris. Print)","B1",2008
"1043-1802","CIÊNCIAS BIOLÓGICAS II                            ","Bioconjugate Chemistry","A2",2008
"0958-3157","CIÊNCIAS BIOLÓGICAS II                            ","Biocontrol Science and Technology (Print)","B3",2008
"0960-3115","CIÊNCIAS BIOLÓGICAS II                            ","Biodiversity and Conservation","B2",2008
"1173-8804","CIÊNCIAS BIOLÓGICAS II                            ","BioDrugs (Auckland)","B2",2008
"0197-8462","CIÊNCIAS BIOLÓGICAS II                            ","Bioelectromagnetics","B2",2008
"0006-3029","CIÊNCIAS BIOLÓGICAS II                            ","Biofizika (Moskva)","B4",2008
"0892-7014","CIÊNCIAS BIOLÓGICAS II                            ","Biofouling (New York. Print)","B1",2008
"1389-5729","CIÊNCIAS BIOLÓGICAS II                            ","Biogerontology (Dordrecht)","A2",2008
"1367-4803","CIÊNCIAS BIOLÓGICAS II                            ","Bioinformatics (Oxford. Print)","A1",2008
"0006-3134","CIÊNCIAS BIOLÓGICAS II                            ","Biologia Plantarum (Praha)","B3",2008
"0918-6158","CIÊNCIAS BIOLÓGICAS II                            ","Biological & Pharmaceutical Bulletin","B2",2008
"1431-6730","CIÊNCIAS BIOLÓGICAS II                            ","Biological Chemistry (Print)","B1",2008
"1049-9644","CIÊNCIAS BIOLÓGICAS II                            ","Biological Control (Print)","B2",2008
"0024-4066","CIÊNCIAS BIOLÓGICAS II                            ","Biological Journal of the Linnean Society","B1",2008
"0006-3223","CIÊNCIAS BIOLÓGICAS II                            ","Biological Psychiatry (1969)","A1",2008
"0716-9760","CIÊNCIAS BIOLÓGICAS II                            ","Biological Research (Print)","B3",2008
"1099-8004","CIÊNCIAS BIOLÓGICAS II                            ","Biological Research for Nursing","B3",2008
"1469-185X","CIÊNCIAS BIOLÓGICAS II                            ","Biological Reviews of the Cambridge Philosophical Society (Online)","C ",2008
"0929-1016","CIÊNCIAS BIOLÓGICAS II                            ","Biological Rhythm Research","B4",2008
"0163-4984","CIÊNCIAS BIOLÓGICAS II                            ","Biological Trace Element Research","B4",2008
"1045-1056","CIÊNCIAS BIOLÓGICAS II                            ","Biologicals (London. Print)","B3",2008
"1744-9561","CIÊNCIAS BIOLÓGICAS II                            ","Biology Letters (Print)","B1",2008
"0006-3363","CIÊNCIAS BIOLÓGICAS II                            ","Biology of Reproduction","A2",2008
"1529-7268","CIÊNCIAS BIOLÓGICAS II                            ","Biology of Reproduction (Online)","A2",2008
"0248-4900","CIÊNCIAS BIOLÓGICAS II                            ","Biology of the Cell","A2",2008
"0006-3126","CIÊNCIAS BIOLÓGICAS II                            ","Biology of the Neonate","B2",2008
"1354-750X","CIÊNCIAS BIOLÓGICAS II                            ","Biomarkers (London. Print)","B2",2008
"1679-365X","CIÊNCIAS BIOLÓGICAS II                            ","Biomatemática (UNICAMP)","C ",2008
"1748-6041","CIÊNCIAS BIOLÓGICAS II                            ","Biomedical Materials (Bristol. Print)","B4",2008
"0753-3322","CIÊNCIAS BIOLÓGICAS II                            ","Biomedicine & Pharmacotherapy","B2",2008
"0966-0844","CIÊNCIAS BIOLÓGICAS II                            ","BioMetals (Oxford)","B2",2008
"0968-0896","CIÊNCIAS BIOLÓGICAS II                            ","Bioorganic & Medicinal Chemistry (Print)","B1",2008
"0960-894X","CIÊNCIAS BIOLÓGICAS II                            ","Bioorganic & Medicinal Chemistry Letters (Print)","B1",2008
