"1950-196X","SOCIOLOGIA                                        ","2050 / Deux Mille Cinquante","C ",2008
"0044-7447","SOCIOLOGIA                                        ","Ambio (Oslo)","A2",2008
"1518-0360","SOCIOLOGIA                                        ","Âmbito Jurídico","C ",2008
"1390-1230","SOCIOLOGIA                                        ","America Latina en Movimiento","B3",2008
"1130-2887","SOCIOLOGIA                                        ","América Latina Hoy","A2",2008
"0002-7294","SOCIOLOGIA                                        ","American Anthropologist","A1",2008
"1980-4806","SOCIOLOGIA                                        ","Ameríndia (Fortaleza. Online)","B5",2008
"1678-8087","SOCIOLOGIA                                        ","Análise & Síntese","C ",2008
"1809-8924","SOCIOLOGIA                                        ","Análise de Conjuntura OPSA","C ",2008
"0003-2573","SOCIOLOGIA                                        ","Análise Social","A2",2008
"0101-191X","SOCIOLOGIA                                        ","Ângulo (FATEA. Impresso)","B5",2008
"0104-236X","SOCIOLOGIA                                        ","Anos 90 (UFRGS. Impresso)","B2",2008
"0211-5611","SOCIOLOGIA                                        ","Anthropos (Barcelona) (Cessou em 1995. Cont. ISSN 1137-3636 Revista Anthropos)","B3",2008
"1515-8438","SOCIOLOGIA                                        ","Antígona (Río Cuarto)","B5",2008
"1808-9194","SOCIOLOGIA                                        ","Antítese (Goiânia)","B5",2008
"1984-3356","SOCIOLOGIA                                        ","Antíteses (Londrina)","B3",2008
"1414-7378","SOCIOLOGIA                                        ","Antropolítica (UFF)","B2",2008
"1982-1050","SOCIOLOGIA                                        ","Antropos (Manaus)","B5",2008
"0102-4302","SOCIOLOGIA                                        ","Anuário Antropológico","B2",2008
"1669-5186","SOCIOLOGIA                                        ","Anuario de Estudios de Antropología Social","B5",2008
"0210-1963","SOCIOLOGIA                                        ","Arbor (Madrid)","A2",2008
"0004-0002","SOCIOLOGIA                                        ","Archives of Sexual Behavior","A1",2008
"1139-3327","SOCIOLOGIA                                        ","Argumentos de Razón Técnica","C ",2008
"0103-9253","SOCIOLOGIA                                        ","Ariús: Revista de Ciências Humanas e Artes (UFCG)","B5",2008
"1809-6298","SOCIOLOGIA                                        ","Arquitextos (São Paulo)","B5",2008
"1808-4826","SOCIOLOGIA                                        ","Arquivística.net","B5",2008
"1414-7149","SOCIOLOGIA                                        ","Arquivos da APADEC (Cessou em 2005. Cont. ISSN 1980-959X Arquivos do Mudi)","C ",2008
"1678-5320","SOCIOLOGIA                                        ","ARS (São Paulo)","B2",2008
"1516-8603","SOCIOLOGIA                                        ","ArtCultura (UFU)","B3",2008
"1516-1692","SOCIOLOGIA                                        ","Arte & Ensaio (UFRJ)","B5",2008
"0103-8508","SOCIOLOGIA                                        ","Arte e Cultura da America Latina","B5",2008
"1697-2341","SOCIOLOGIA                                        ","Artecontexto (Madrid)","C ",2008
"1809-8274","SOCIOLOGIA                                        ","Artefilosofia (UFOP)","B4",2008
"1415-7950","SOCIOLOGIA                                        ","Asas da Palavra (UNAMA)","C ",2008
"1982-1956","SOCIOLOGIA                                        ","Ateliê Geográfico (UFG)","B4",2008
"1578-8946","SOCIOLOGIA                                        ","Athenea Digital","B5",2008
"1809-0354","SOCIOLOGIA                                        ","Atos de Pesquisa em Educação (FURB)","B4",2008
"1982-6672","SOCIOLOGIA                                        ","Aurora (PUCSP. Online)","B5",2008
"1982-8004","SOCIOLOGIA                                        ","Aurora (UNESP. Marília)","B5",2008
"9782-2000","SOCIOLOGIA                                        ","Autrepart","B2",2008
"1278-3986","SOCIOLOGIA                                        ","Autrepart (La Tour d'Aigues)","B2",2008
"1414-4077","SOCIOLOGIA                                        ","Avaliação (UNICAMP)","B1",2008
"1678-7862","SOCIOLOGIA                                        ","Avesso do Avesso (Araçatuba)","B5",2008
"1982-0518","SOCIOLOGIA                                        ","Bagoas : Revista de Estudos Gays","B3",2008
"0103-8117","SOCIOLOGIA                                        ","Bahia Analise & Dados","C ",2008
"1808-8473","SOCIOLOGIA                                        ","Baleia na Rede (UNESP. Marília)","B5",2008
"0104-6578","SOCIOLOGIA                                        ","Barbarói (UNISC. Impresso)","B4",2008
"1165-421X","SOCIOLOGIA                                        ","Bastidiana (Brionne) (Cessou em 2006)","B3",2008
"0341-4515","SOCIOLOGIA                                        ","Berufsbildung in Wissenschaft und Praxis","B4",2008
"1516-8085","SOCIOLOGIA                                        ","BIB. Revista Brasileira de Informação Bibliográfica em Ciências Sociais","B2",2008
"0102-9568","SOCIOLOGIA                                        ","Bioikos (Campinas)","B5",2008
"0959-2709","SOCIOLOGIA                                        ","Bird Conservation International","A2",2008
"1518-1812","SOCIOLOGIA                                        ","BIS. Boletim do Instituto de Saúde (Impresso)","C ",2008
"1981-1349","SOCIOLOGIA                                        ","Boletim (USP. Grupo de Estudos do Centro de Pesquisas em Arte & Fotografia do Departamento de Artes Plásticas)","C ",2008
"0102-6968","SOCIOLOGIA                                        ","Boletim - Centro de Letras e Ciências Humanas (UEL)","B3",2008
"0102-1001","SOCIOLOGIA                                        ","Boletim da Saúde","C ",2008
"0870-4260","SOCIOLOGIA                                        ","Boletim de Ciências Económicas","C ",2008
"1678-2305","SOCIOLOGIA                                        ","Boletim do Instituto de Pesca (Online)","C ",2008
"0522-7291","SOCIOLOGIA                                        ","Boletim do Museu Paraense Emilio Goeldi. Antropologia (Cessou em 2002)","C ",2008
"0103-4278","SOCIOLOGIA                                        ","Boletim do Museu Paraense Emílio Goeldi. Série Ciências da Terra","B2",2008
"0006-6079","SOCIOLOGIA                                        ","Boletim Paulista de Geografia","B4",2008
"1980-0649","SOCIOLOGIA                                        ","Boletim Regional","C ",2008
"1981-3384","SOCIOLOGIA                                        ","Boletim Tempo Presente (UFRJ)","B3",2008
"1519-6984","SOCIOLOGIA                                        ","Brazilian Journal of Biology (Impresso)","B2",2008
"0100-879X","SOCIOLOGIA                                        ","Brazilian Journal of Medical and Biological Research (Impresso)","A2",2008
"1808-4079","SOCIOLOGIA                                        ","Brazilian Journalism Research (Impresso)","B4",2008
"1981-3821","SOCIOLOGIA                                        ","Brazilian Political Science Review","B2",2008
"0261-3050","SOCIOLOGIA                                        ","Bulletin of Latin American Research","A1",2008
"0103-4979","SOCIOLOGIA                                        ","Caderno CRH (UFBA. Impresso)","A2",2008
"0103-2666","SOCIOLOGIA                                        ","Caderno de Cultura do Estudante (UFS)","C ",2008
"1516-9286","SOCIOLOGIA                                        ","Caderno Espaço Feminino (UFU)","B3",2008
"1807-7633","SOCIOLOGIA                                        ","Caderno Fênix Ciência (UNEMAT)","B4",2008
"1807-3492","SOCIOLOGIA                                        ","Caderno Pós Ciências Sociais (UFMA) (Cessou em 2005. Cont. 1983-4527 Revista Pós Ciências Sociais (UFMA))","B3",2008
"1980-0916","SOCIOLOGIA                                        ","Caderno.com","C ",2008
"1519-0951","SOCIOLOGIA                                        ","Cadernos ADENAUER (São Paulo)","B4",2008
"1413-6597","SOCIOLOGIA                                        ","Cadernos Arquivo Edgard Leuenroth (UNICAMP)","B4",2008
"1518-0395","SOCIOLOGIA                                        ","Cadernos Camilliani","C ",2008
"0101-3262","SOCIOLOGIA                                        ","Cadernos CEDES (Impresso)","B1",2008
"1808-9631","SOCIOLOGIA                                        ","Cadernos CENPEC","C ",2008
"1413-4519","SOCIOLOGIA                                        ","Cadernos Ceru (USP)","B3",2008
"1808-9372","SOCIOLOGIA                                        ","Cadernos da FESPSP","C ",2008
"0870-595X","SOCIOLOGIA                                        ","Cadernos da Revista de História Económica e Social","B3",2008
"0104-9658","SOCIOLOGIA                                        ","Cadernos de Antropologia e Imagem (UERJ)","B2",2008
"1415-0689","SOCIOLOGIA                                        ","Cadernos de Campo (UNESP)","B5",2008
"0104-5679","SOCIOLOGIA                                        ","Cadernos de Campo (USP. 1991)","B3",2008
"0104-1096","SOCIOLOGIA                                        ","Cadernos de Ciência & Tecnologia","B3",2008
"0104-0782","SOCIOLOGIA                                        ","Cadernos de Ciências Sociais (Belo Horizonte)","B5",2008
"1808-7140","SOCIOLOGIA                                        ","Cadernos de Direito (Maceió)","C ",2008
"0102-4248","SOCIOLOGIA                                        ","Cadernos de Estudos Sociais","B4",2008
"1980-3133","SOCIOLOGIA                                        ","Cadernos de Formação Cultural","C ",2008
"1807-9415","SOCIOLOGIA                                        ","Cadernos de Gênero e Tecnologia (CEFET/PR)","B5",2008
"1679-5636","SOCIOLOGIA                                        ","Cadernos de História (Belo Horizonte)","B3",2008
"0103-6300","SOCIOLOGIA                                        ","Cadernos de História (UFU. Impresso)","B5",2008
"0104-9798","SOCIOLOGIA                                        ","Cadernos de Historia Social","B5",2008
"1676-8272","SOCIOLOGIA                                        ","Cadernos de Literatura e Diversidade (UEFS)","C ",2008
"0100-1574","SOCIOLOGIA                                        ","Cadernos de Pesquisa (Fundação Carlos Chagas. Impresso)","B1",2008
"0102-4175","SOCIOLOGIA                                        ","Cadernos de Pesquisa - Universidade Federal do Maranhão","C ",2008
"1678-7730","SOCIOLOGIA                                        ","Cadernos de Pesquisa Interdisciplinar em Ciências Humanas (UFSC)","B3",2008
"1678-4103","SOCIOLOGIA                                        ","Cadernos de Pós-Graduação (UNINOV)","C ",2008
"1413-6295","SOCIOLOGIA                                        ","Cadernos de Psicanálise (Círculo Psicanalítico/RJ)","C ",2008
"1516-3717","SOCIOLOGIA                                        ","Cadernos de Psicologia Social do Trabalho (USP)","B2",2008
"0102-311X","SOCIOLOGIA                                        ","Cadernos de Saúde Pública (ENSP. Impresso)","B1",2008
"1809-1814","SOCIOLOGIA                                        ","Cadernos de Sociologia e Política (Online)","B5",2008
"0104-1231","SOCIOLOGIA                                        ","Cadernos de Subjetividade (PUCSP)","C ",2008
"0103-510X","SOCIOLOGIA                                        ","Cadernos do CEAM (UnB)","C ",2008
"0102-9711","SOCIOLOGIA                                        ","Cadernos do CEAS","B4",2008
"1413-8409","SOCIOLOGIA                                        ","Cadernos do CEOM (UNOESC)","B4",2008
"1983-8239","SOCIOLOGIA                                        ","Cadernos do CRH (Online)","A2",2008
"1678-5029","SOCIOLOGIA                                        ","Cadernos do Programa de Pós-Graduação em Direito - PPGDir./UFRGS","B5",2008
"1679-3951","SOCIOLOGIA                                        ","Cadernos EBAPE.BR (FGV)","B5",2008
"1809-0893","SOCIOLOGIA                                        ","Cadernos ESP (Online)","C ",2008
"1809-2977","SOCIOLOGIA                                        ","Cadernos Feministas de Economia e Política","B3",2008
"1806-003X","SOCIOLOGIA                                        ","Cadernos IHU (UNISINOS)","C ",2008
"1807-7862","SOCIOLOGIA                                        ","Cadernos IHU em Formação (UNISINOS)","C ",2008
"1679-0316","SOCIOLOGIA                                        ","Cadernos IHU Idéias (UNISINOS)","C ",2008
"1517-2422","SOCIOLOGIA                                        ","Cadernos Metrópole (PUCSP)","B4",2008
"1808-0243","SOCIOLOGIA                                        ","Cadernos NEPRE","B5",2008
"0104-8333","SOCIOLOGIA                                        ","Cadernos Pagu (UNICAMP. Impresso)","A2",2008
"1679-6861","SOCIOLOGIA                                        ","Cadernos PPG-AU/FAUFBA","B3",2008
"1676-6288","SOCIOLOGIA                                        ","Cadernos PROLAM/USP","B2",2008
"1414-462X","SOCIOLOGIA                                        ","Cadernos Saúde Coletiva (UFRJ)","B3",2008
"1677-2288","SOCIOLOGIA                                        ","Cadernos UFS. História","B4",2008
"1980-4784","SOCIOLOGIA                                        ","Cadernos UFS. Serviço Social","C ",2008
"1777-5949","SOCIOLOGIA                                        ","Cahiers Agricultures","B4",2008
"1141-7161","SOCIOLOGIA                                        ","Cahiers des Amériques Latines (Paris)","B1",2008
"0989-5191","SOCIOLOGIA                                        ","Cahiers du Brésil Contemporain","B1",2008
"1298-6046","SOCIOLOGIA                                        ","Cahiers du Genre (Paris)","A2",2008
"0103-2178","SOCIOLOGIA                                        ","Caligrama (UFMG)","B3",2008
"1678-3034","SOCIOLOGIA                                        ","Caminhos (UCG. Impresso)","B1",2008
"1517-3771","SOCIOLOGIA                                        ","Caminhos da História (UNIMONTES)","B4",2008
"1678-6343","SOCIOLOGIA                                        ","Caminhos de Geografia (UFU)","B4",2008
"1519-5538","SOCIOLOGIA                                        ","Campos (UFPR)","B4",2008
"0826-3663","SOCIOLOGIA                                        ","Canadian Journal of Latin American and Caribbean Studies","A2",2008
"1188-3774","SOCIOLOGIA                                        ","Canadian Journal of Urban Research","A2",2008
"1517-1175","SOCIOLOGIA                                        ","Candeeiro (UFS)","C ",2008
"1807-376X","SOCIOLOGIA                                        ","Canindé (MAX/UFS. Impresso)","C ",2008
"1517-6916","SOCIOLOGIA                                        ","CAOS. Revista Eletrônica de Ciências Sociais","B5",2008
"0992-1710","SOCIOLOGIA                                        ","Carré Rouge (Paris) (Cessou em 2007)","B2",2008
"0341-8162","SOCIOLOGIA                                        ","Catena (Cremlingen)","A2",2008
"1317-5734","SOCIOLOGIA                                        ","Cayapa. Revista Venezolana de Economia Social","B2",2008
"1679-4206","SOCIOLOGIA                                        ","CCJUR em Revista","C ",2008
"1518-1200","SOCIOLOGIA                                        ","Cena Internacional (UnB)","B5",2008
"1981-9102","SOCIOLOGIA                                        ","Cenário Internacional","C ",2008
"1677-4027","SOCIOLOGIA                                        ","Cenários da Comunicação (UNINOVE. Impresso)","B4",2008
"1517-8471","SOCIOLOGIA                                        ","CEPPG Revista (Catalão)","C ",2008
"1676-2312","SOCIOLOGIA                                        ","CERECFacesm","C ",2008
"1473-3285","SOCIOLOGIA                                        ","Children's Geographies (Print)","B2",2008
"1414-9958","SOCIOLOGIA                                        ","China em Estudo","B4",2008
"1519-0617","SOCIOLOGIA                                        ","Ciberlegenda (UFF. Online)","B4",2008
"1679-3625","SOCIOLOGIA                                        ","Cidades (Presidente Prudente)","B4",2008
"1676-4188","SOCIOLOGIA                                        ","Ciência & Ambiente","B5",2008
"1806-194X","SOCIOLOGIA                                        ","Ciência & Conhecimento","C ",2008
"1678-4561","SOCIOLOGIA                                        ","Ciência & Saúde Coletiva (Online)","B1",2008
"1984-2597","SOCIOLOGIA                                        ","Ciência com Consciência Jurídica","C ",2008
"0009-6725","SOCIOLOGIA                                        ","Ciência e Cultura","B1",2008
"1413-8123","SOCIOLOGIA                                        ","Ciência e Saúde Coletiva (Impresso)","B3",2008
"1517-1914","SOCIOLOGIA                                        ","Ciência em Movimento (Impresso)","C ",2008
"0101-8515","SOCIOLOGIA                                        ","Ciência Hoje","C ",2008
"1677-3861","SOCIOLOGIA                                        ","Ciência, Cuidado & Saúde","C ",2008
"1806-5821","SOCIOLOGIA                                        ","Ciências & Cognição (UFRJ)","B4",2008
"1678-8192","SOCIOLOGIA                                        ","Ciências Humanas em Revista (UFMA)","B4",2008
"1677-9665","SOCIOLOGIA                                        ","Ciências Sociais em Perspectiva (Impresso)","B3",2008
"1519-7050","SOCIOLOGIA                                        ","Ciências Sociais Unisinos","B2",2008
"1518-4463","SOCIOLOGIA                                        ","Ciencias Sociales y Religión (Impresso)","B2",2008
"0717-554X","SOCIOLOGIA                                        ","Cinta de Moebio","B3",2008
"1807-7544","SOCIOLOGIA                                        ","City & Time (Online)","B2",2008
"1133-4762","SOCIOLOGIA                                        ","Ciudad y Territorio, Estudios Territoriales","B2",2008
"0187-8611","SOCIOLOGIA                                        ","Ciudades (Puebla)","B2",2008
"1519-6089","SOCIOLOGIA                                        ","Civitas: Revista de Ciências Sociais (Impresso)","B2",2008
"0102-9487","SOCIOLOGIA                                        ","Clio. Série História do Nordeste (UFPE)","B3",2008
"0870-4104","SOCIOLOGIA                                        ","Clio: Revista do Centro de História da Universidade de Lisboa","B2",2008
"1519-9479","SOCIOLOGIA                                        ","Cógito (Salvador. Impresso)","C ",2008
"1519-7654","SOCIOLOGIA                                        ","ComCiência (UNICAMP)","B5",2008
"1676-3475","SOCIOLOGIA                                        ","Communicare (São Paulo)","B5",2008
"0378-0880","SOCIOLOGIA                                        ","Communication & Cognition. Monographies","B2",2008
"1095-6433","SOCIOLOGIA                                        ","Comparative Biochemistry and Physiology. Part A, Molecular & Integrative Physiology","B1",2008
"0010-4086","SOCIOLOGIA                                        ","Comparative Education Review","A2",2008
"0010-4159","SOCIOLOGIA                                        ","Comparative Politics","A1",2008
"1983-3784","SOCIOLOGIA                                        ","Composição: Revista de Ciências Sociais da Universidade Federal de Mato Grosso do Sul","B4",2008
"0360-1315","SOCIOLOGIA                                        ","Computers and Education","A2",2008
"0101-305X","SOCIOLOGIA                                        ","Comum (FACHA)","B4",2008
"1415-5842","SOCIOLOGIA                                        ","Comunicação & Informação (UFG)","C ",2008
"0102-6925","SOCIOLOGIA                                        ","Comunicação & Política","B2",2008
"1809-6808","SOCIOLOGIA                                        ","Comunicação & Saúde","C ",2008
"0101-2657","SOCIOLOGIA                                        ","Comunicação & Sociedade","B4",2008
"0104-6829","SOCIOLOGIA                                        ","Comunicacao e Educacao (USP)","B3",2008
"1806-4981","SOCIOLOGIA                                        ","Comunicação, Mídia e Consumo (São Paulo. Impresso)","B4",2008
"0102-0242","SOCIOLOGIA                                        ","Comunicarte","B4",2008
"1519-7204","SOCIOLOGIA                                        ","Conceitos (João Pessoa)","C ",2008
"1415-2681","SOCIOLOGIA                                        ","Concinnitas (Rio de Janeiro. Impresso)","B4",2008
"1516-4381","SOCIOLOGIA                                        ","Conexões (UNICAMP) (Cessou em 2000. Cont. ISSN 1983-9030 Conexões (Campinas. Online))","B5",2008
"1676-661X","SOCIOLOGIA                                        ","Conflitos no Campo Brasil","B4",2008
"1678-7145","SOCIOLOGIA                                        ","Confluências (Niterói)","B4",2008
"0084-9189","SOCIOLOGIA                                        ","Conimbriga (Coimbra)","B3",2008
"1413-1536","SOCIOLOGIA                                        ","Conjuntura & Planejamento","B4",2008
"1980-7341","SOCIOLOGIA                                        ","Connection Line","C ",2008
"1351-0487","SOCIOLOGIA                                        ","Constellations (Oxford. Print)","A1",2008
"0094-3061","SOCIOLOGIA                                        ","Contemporary Sociology (Washington)","A1",2008
"0102-8529","SOCIOLOGIA                                        ","Contexto Internacional (PUCRJ. Impresso)","A2",2008
"1980-7589","SOCIOLOGIA                                        ","Contingentia (UFRGS)","C ",2008
"1667-8370","SOCIOLOGIA                                        ","Contratiempo (Buenos Aires)","B5",2008
"1633-597X","SOCIOLOGIA                                        ","Contretemps (Paris. 2001)","A2",2008
"1405-1435","SOCIOLOGIA                                        ","Convergencía (Toluca)","C ",2008
"1130-2682","SOCIOLOGIA                                        ","Cooperativismo e Economía Social","B3",2008
"1808-8511","SOCIOLOGIA                                        ","CPEDEC. Cadernos de Pesquisa e Extensão Desafios Críticos (Impresso)","C ",2008
"0764-7611","SOCIOLOGIA                                        ","Crisol (Nanterre)","B3",2008
"0011-152X","SOCIOLOGIA                                        ","Critica Marxista (Roma)","B1",2008
"0104-9321","SOCIOLOGIA                                        ","Critica Marxista (São Paulo)","B2",2008
"1290-7839","SOCIOLOGIA                                        ","Critique Internationale (Paris. 1998)","B1",2008
"1518-0689","SOCIOLOGIA                                        ","Cronos (Natal. Impresso)","B2",2008
"1981-2140","SOCIOLOGIA                                        ","CSOnline (UFJF)","B4",2008
"1666-6186","SOCIOLOGIA                                        ","Cuaderno Urbano","B2",2008
"0327-3776","SOCIOLOGIA                                        ","Cuadernos de Antropología Social (Impresa)","B1",2008
"0122-1450","SOCIOLOGIA                                        ","Cuadernos de Desarrollo Rural","B2",2008
"1514-5816","SOCIOLOGIA                                        ","Cuadernos de Historia. Serie Economía y Sociedad","B4",2008
"1012-2508","SOCIOLOGIA                                        ","Cuadernos del CENDES","B1",2008
"1414-7076","SOCIOLOGIA                                        ","Cult (São Paulo)","B4",2008
"0718-4727","SOCIOLOGIA                                        ","Cultura y Religión (En línea)","B3",2008
"1478-0046","SOCIOLOGIA                                        ","Cultural and Social History (Online)","A2",2008
"1983-5930","SOCIOLOGIA                                        ","Culturas Midiáticas","B5",2008
"1354-067X","SOCIOLOGIA                                        ","Culture & Psychology","A1",2008
"0011-3204","SOCIOLOGIA                                        ","Current Anthropology","A1",2008
"0011-3921","SOCIOLOGIA                                        ","Current Sociology (Print)","A1",2008
"0011-5258","SOCIOLOGIA                                        ","Dados (Rio de Janeiro. Impresso)","A1",2008
"1808-3129","SOCIOLOGIA                                        ","DAPesquisa","C ",2008
"1517-3801","SOCIOLOGIA                                        ","Datagramazero (Rio de Janeiro)","B5",2008
"1677-8820","SOCIOLOGIA                                        ","De Littera et Scientia","C ",2008
"1519-843X","SOCIOLOGIA                                        ","Debates do NER (UFRGS. Impresso)","B4",2008
"0167-9236","SOCIOLOGIA                                        ","Decision Support Systems","B1",2008
"0328-0101","SOCIOLOGIA                                        ","Delito y Sociedad","B2",2008
"1982-5234","SOCIOLOGIA                                        ","Democratizar (Faetec)","B5",2008
"1351-0347","SOCIOLOGIA                                        ","Democratization (London)","A1",2008
"1519-5880","SOCIOLOGIA                                        ","Depoimentos: Revista da Faculdade de Direito de Vitória","C ",2008
"0046-001X","SOCIOLOGIA                                        ","Desarrollo Económico (Buenos Aires)","B1",2008
"1518-952X","SOCIOLOGIA                                        ","Desenvolvimento e Meio Ambiente (UFPR)","B3",2008
"1678-4855","SOCIOLOGIA                                        ","Desenvolvimento em Questão","B4",2008
"1806-2741","SOCIOLOGIA                                        ","Desígnio (São Paulo)","B4",2008
"1982-3894","SOCIOLOGIA                                        ","Desigualdade & Diversidade (PUCRJ)","B4",2008
"1806-9746","SOCIOLOGIA                                        ","Desvendando a História (São Paulo)","C ",2008
"0961-4524","SOCIOLOGIA                                        ","Development in Practice (Print)","B1",2008
"0378-7931","SOCIOLOGIA                                        ","Déviance et Société (Revue)","B1",2008
"1679-8503","SOCIOLOGIA                                        ","Devires (UFMG)","B5",2008
"1413-0076","SOCIOLOGIA                                        ","Diálogo (São Paulo)","C ",2008
"1677-2601","SOCIOLOGIA                                        ","Diálogo Jurídico (Fortaleza. 2002)","C ",2008
"1667-314X","SOCIOLOGIA                                        ","Diálogo Político","B4",2008
"1678-0493","SOCIOLOGIA                                        ","Diálogos & Ciência (Online)","C ",2008
"1415-9945","SOCIOLOGIA                                        ","Diálogos (Maringá)","B3",2008
"1600-0110","SOCIOLOGIA                                        ","Diálogos Latinoamericanos","B3",2008
"1677-7603","SOCIOLOGIA                                        ","Diálogos Possíveis (FSBA)","C ",2008
"1983-5922","SOCIOLOGIA                                        ","Dilemas: Revista de Estudos de Conflito e Controle Social","B2",2008
"0419-1633","SOCIOLOGIA                                        ","Diogène (Ed. Française)","A2",2008
"0392-1921","SOCIOLOGIA                                        ","Diogenes (English ed.)","A2",2008
"1127-8579","SOCIOLOGIA                                        ","Diritto & Diritti","C ",2008
"0103-328X","SOCIOLOGIA                                        ","Discurso - Departamento de Filosofia da FFLCH DA USP","B2",2008
"0872-0738","SOCIOLOGIA                                        ","Discursos (Coimbra) (Cessou em 1998)","B3",2008
"1808-5652","SOCIOLOGIA                                        ","Discursos Fotográficos","C ",2008
"1413-988X","SOCIOLOGIA                                        ","Discursos Sediciosos (Rio de Janeiro)","B4",2008
"0718-4212","SOCIOLOGIA                                        ","Docencia (Santiago)","B5",2008
"1307-5950","SOCIOLOGIA                                        ","Dogudan","C ",2008
"1807-3883","SOCIOLOGIA                                        ","Dois Pontos (UFPR)","B2",2008
"1981-1489","SOCIOLOGIA                                        ","Doutrinas Jurídicas","C ",2008
"0769-3362","SOCIOLOGIA                                        ","Droit et Société (Paris. 1985)","B1",2008
"1519-9541","SOCIOLOGIA                                        ","Duc in Altum (Muriaé)","C ",2008
"0012-7353","SOCIOLOGIA                                        ","DYNA (Medellín)","C ",2008
"1982-4866","SOCIOLOGIA                                        ","Dynamis (FURB. Online)","C ",2008
"1678-8982","SOCIOLOGIA                                        ","E & G. Economia e Gestão (Cessou em 2008. Cont. ISSN 1984-6606 Revista Economia & Gestão)","B5",2008
"1808-2599","SOCIOLOGIA                                        ","E-Compós (Brasília)","B3",2008
"1666-9606","SOCIOLOGIA                                        ","E-Latina (Buenos Aires)","B2",2008
"1981-1438","SOCIOLOGIA                                        ","E-Premissas : Revista de Estudos Estratégicos (UNICAMP)","B5",2008
"1517-1949","SOCIOLOGIA                                        ","Eccos Revista Científica (Impresso)","B5",2008
"0104-6160","SOCIOLOGIA                                        ","Eco (UFRJ)","B3",2008
"0104-0618","SOCIOLOGIA                                        ","Economia e Sociedade (UNICAMP. Impresso)","B2",2008
"1518-434X","SOCIOLOGIA                                        ","Economia em Debate (Campo Grande)","B5",2008
"0102-2482","SOCIOLOGIA                                        ","Economia Ensaios (UFU. Impresso)","C ",2008
"0143-831X","SOCIOLOGIA                                        ","Economic and Industrial Democracy","A2",2008
"0013-0001","SOCIOLOGIA                                        ","Economic Botany","B1",2008
"1517-1302","SOCIOLOGIA                                        ","Econômica (Niterói)","B5",2008
"1518-188X","SOCIOLOGIA                                        ","Ecos Revista","B4",2008
"1012-1498","SOCIOLOGIA                                        ","Ecuador Debate","B3",2008
"1679-8872","SOCIOLOGIA                                        ","Edição especial história viva","B5",2008
